EXPEDITION               ;SUSPOEMULSÃO (SE) 10;13956;GO        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;150,0
EXPEDITION               ;SUSPOEMULSÃO (SE) 10;13956;RS        ;SUL            ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;146,0
EXPEDITION               ;SUSPOEMULSÃO (SE) 10;13956;GO        ;CENTRO-OESTE   ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;125,0
EXPEDITION               ;SUSPOEMULSÃO (SE) 10;13956;RS        ;SUL            ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;149,0
EXPEDITION               ;SUSPOEMULSÃO (SE) 10;13956;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;125,0
EXPEDITION               ;SUSPOEMULSÃO (SE) 10;13956;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;149,0
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;AL        ;NORDESTE       ;2025;6;VAREJO                                                      ;24,24
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;CE        ;NORDESTE       ;2025;6;VAREJO                                                      ;15,06
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;GO        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;19,38
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;MA        ;NORDESTE       ;2025;6;VAREJO                                                      ;15,73
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;MT        ;CENTRO-OESTE   ;2025;6;VAREJO                                                      ;15,1
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PB        ;NORDESTE       ;2025;6;VAREJO                                                      ;13,44
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PE        ;NORDESTE       ;2025;6;VAREJO                                                      ;13,62
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PI        ;NORDESTE       ;2025;6;VAREJO                                                      ;12,97
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;PR        ;SUL            ;2025;6;VAREJO                                                      ;17,17
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RJ        ;SUDESTE        ;2025;6;VAREJO                                                      ;22,76
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RN        ;NORDESTE       ;2025;6;VAREJO                                                      ;14,2
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;RS        ;SUL            ;2025;6;VAREJO                                                      ;16,18
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;SE        ;NORDESTE       ;2025;6;VAREJO                                                      ;10,71
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;SP        ;SUDESTE        ;2025;6;VAREJO                                                      ;20,57
EXTRATO DE TOMATE        ;NÃO INFORMADO       ;5497;AL        ;NORDESTE       ;2025;7;VAREJO                                                      ;24,21
